query_id,stratum,relevant_documents,relevant_over_limit
PLAIN-1008,mixed,5,4
PLAIN-1018,mixed,60,57
PLAIN-102,mixed,24,22
PLAIN-1028,all_over_limit,1,1
PLAIN-1039,mixed,2,1
PLAIN-1050,mixed,94,74
PLAIN-1066,mixed,9,7
PLAIN-1088,mixed,5,1
PLAIN-1098,all_over_limit,5,5
PLAIN-1109,mixed,98,76
PLAIN-1119,mixed,11,9
PLAIN-112,mixed,56,46
PLAIN-1130,all_over_limit,1,1
PLAIN-1141,mixed,16,6
PLAIN-1151,mixed,153,116
PLAIN-1161,all_over_limit,1,1
PLAIN-1172,mixed,19,14
PLAIN-1183,mixed,25,21
PLAIN-1193,mixed,18,16
PLAIN-12,mixed,30,22
PLAIN-1203,mixed,12,9
PLAIN-1214,mixed,17,16
PLAIN-1225,mixed,27,22
PLAIN-123,mixed,51,45
PLAIN-1236,all_over_limit,5,5
PLAIN-1249,all_over_limit,4,4
PLAIN-1262,mixed,10,9
PLAIN-1275,mixed,55,45
PLAIN-1288,mixed,196,156
PLAIN-1299,mixed,61,47
PLAIN-1309,mixed,4,3
PLAIN-1320,all_over_limit,6,6
PLAIN-133,mixed,36,32
PLAIN-1331,all_over_limit,1,1
PLAIN-1342,mixed,16,14
PLAIN-1353,mixed,4,2
PLAIN-1363,mixed,11,7
PLAIN-1374,mixed,26,23
PLAIN-1387,mixed,12,7
PLAIN-1398,mixed,103,78
PLAIN-1409,mixed,253,205
PLAIN-1419,mixed,65,54
PLAIN-1429,all_over_limit,6,6
PLAIN-143,mixed,51,38
PLAIN-1441,mixed,186,147
PLAIN-1453,mixed,245,203
PLAIN-1463,mixed,24,16
PLAIN-1473,all_over_limit,1,1
PLAIN-1485,mixed,54,43
PLAIN-1496,all_over_limit,1,1
PLAIN-1506,mixed,15,8
PLAIN-1516,all_over_limit,2,2
PLAIN-1527,mixed,202,161
PLAIN-153,mixed,47,39
PLAIN-1537,mixed,45,39
PLAIN-1547,mixed,6,5
PLAIN-1557,mixed,26,20
PLAIN-1568,mixed,2,1
PLAIN-1579,mixed,5,4
PLAIN-1590,mixed,18,13
PLAIN-1601,mixed,74,61
PLAIN-1611,mixed,6,5
PLAIN-1621,all_over_limit,4,4
PLAIN-1635,mixed,431,327
PLAIN-1645,mixed,6,4
PLAIN-165,mixed,36,32
PLAIN-1656,mixed,28,23
PLAIN-1667,mixed,159,117
PLAIN-1679,all_over_limit,1,1
PLAIN-1690,all_over_limit,4,4
PLAIN-1700,mixed,5,3
