query_id,stratum,relevant_documents,relevant_over_limit
1,all_within_limit,1,0
100,all_over_limit,1,1
1012,all_over_limit,1,1
1014,all_within_limit,1,0
1019,all_over_limit,1,1
1020,all_over_limit,1,1
1021,all_over_limit,1,1
1024,all_within_limit,1,0
1029,mixed,3,2
1041,all_over_limit,2,2
1049,all_within_limit,1,0
1062,all_over_limit,1,1
1086,all_over_limit,1,1
1088,all_within_limit,1,0
1089,all_over_limit,1,1
1099,all_within_limit,1,0
1100,all_within_limit,1,0
1104,all_over_limit,1,1
1107,all_within_limit,1,0
1110,all_over_limit,1,1
1121,all_over_limit,1,1
113,all_over_limit,1,1
1130,all_within_limit,1,0
1132,mixed,2,1
1137,all_over_limit,1,1
1140,all_over_limit,1,1
1144,all_over_limit,1,1
1146,all_over_limit,1,1
115,all_over_limit,1,1
1150,all_within_limit,1,0
1163,all_within_limit,1,0
1175,all_within_limit,1,0
1179,all_within_limit,1,0
118,all_over_limit,1,1
1180,all_within_limit,1,0
1185,all_over_limit,1,1
1187,all_over_limit,1,1
1191,all_within_limit,1,0
1194,all_over_limit,1,1
1196,all_within_limit,1,0
1197,all_within_limit,1,0
1199,all_over_limit,1,1
1200,all_over_limit,1,1
1202,all_over_limit,1,1
1204,all_over_limit,1,1
1207,all_over_limit,1,1
1213,all_over_limit,1,1
1216,all_over_limit,1,1
1221,all_over_limit,1,1
1225,all_over_limit,1,1
1226,all_over_limit,1,1
1232,all_within_limit,1,0
124,all_over_limit,1,1
1241,all_over_limit,1,1
1245,all_over_limit,1,1
1259,all_over_limit,1,1
1262,all_within_limit,1,0
1266,all_over_limit,1,1
127,all_over_limit,1,1
1270,all_over_limit,1,1
1271,all_over_limit,1,1
1272,all_within_limit,1,0
1273,all_over_limit,1,1
1274,mixed,3,1
1278,all_within_limit,1,0
1279,all_within_limit,1,0
128,all_over_limit,1,1
1280,all_over_limit,1,1
1281,all_over_limit,1,1
1282,all_over_limit,1,1
129,all_over_limit,1,1
1290,all_over_limit,1,1
1292,all_within_limit,1,0
1298,all_over_limit,1,1
13,all_over_limit,1,1
