chunk_size,top_k,chunks,hit_rate,mrr
400,1,50,0.8333333333333334,0.8333333333333334
400,3,50,1.0,0.9166666666666666
400,5,50,1.0,0.9166666666666666
600,1,27,1.0,1.0
600,3,27,1.0,1.0
600,5,27,1.0,1.0
800,1,20,0.6666666666666666,0.6666666666666666
800,3,20,0.8333333333333334,0.75
800,5,20,1.0,0.7916666666666666
1000,1,16,0.6666666666666666,0.6666666666666666
1000,3,16,0.8333333333333334,0.75
1000,5,16,1.0,0.7916666666666666
1200,1,14,0.6666666666666666,0.6666666666666666
1200,3,14,1.0,0.8055555555555557
1200,5,14,1.0,0.8055555555555557
